"TopKGraphs" "Jaccard" "Dice" "Laplacian"
"1" 1 0.89817039364258 0.89817039364258 0.180349932705249
"2" 0.80170024025134 0.616458486407054 0.616458486407054 0.0563599564066635
"3" 1 1 1 0.667144906743185
"4" 1 1 1 1
"5" 0.89817039364258 1 1 0.154146977350497
"6" 0.806666666666667 0.89817039364258 0.791827719491993 0.398009950248756
"7" 1 1 1 0.0497512437810945
"8" 1 0.89817039364258 0.89817039364258 0.417670682730924
"9" 1 1 1 0.137031594415871
"10" 0.808229243203527 0.601590744757773 0.601590744757773 0.499758181525069
"11" 1 0.89817039364258 0.89817039364258 0.516585283717798
"12" 1 0.89817039364258 0.89817039364258 0.506170910795188
"13" 0.89817039364258 0.808229243203527 0.808229243203527 0.0205470656221908
"14" 0.89817039364258 1 1 0.543905635648755
"15" 1 1 1 1
"16" 0.89817039364258 0.808229243203527 0.72666789872482 0.238805970149254
"17" 1 1 1 0.336291452592247
"18" 1 0.89817039364258 0.89817039364258 0.284141360326763
"19" 0.89817039364258 0.80170024025134 0.80170024025134 -0.0423436730674545
"20" 0.89817039364258 0.89817039364258 0.89817039364258 0.369669819147171
"21" 1 0.667144906743185 0.89817039364258 0.477905073649754
"22" 0.791827719491993 0.89817039364258 0.89817039364258 0.46065808297568
"23" 0.89817039364258 1 0.89817039364258 0.543633762517883
"24" 0.717099208540401 0.719371918933723 0.802503221056507 0.506170910795188
"25" 0.89817039364258 0.89817039364258 0.89817039364258 0.225277300421809
"26" 0.791827719491993 1 1 -0.022659679932021
"27" 0.89817039364258 1 1 0.440261604721646
"28" 1 1 1 1
"29" 0.89817039364258 0.6981924411174 0.717099208540401 0.89817039364258
"30" 0.80170024025134 0.89817039364258 0.89817039364258 0.0986547085201794
"31" 0.89817039364258 0.89817039364258 0.89817039364258 0.543633762517883
"32" 1 0.89817039364258 1 1
"33" 0.89817039364258 0.808229243203527 0.808229243203527 0.46941415634818
"34" 1 1 1 0.506170910795188
"35" 1 0.89817039364258 0.89817039364258 0.484444444444445
"36" 0.89817039364258 0.119709277469004 0.649467797221721 0.211258697027198
"37" 0.89817039364258 0.667144906743185 0.731042007637752 0.25823405746321
"38" 1 0.579710144927536 0.89817039364258 0.324949226683331
"39" 0.731042007637752 0.808229243203527 0.808229243203527 0.468058191018343
"40" 0.89817039364258 0.89817039364258 0.89817039364258 0.555649099174945
"41" 1 0.89817039364258 0.808229243203527 0.808229243203527
"42" 1 0.802503221056507 0.89817039364258 0.731042007637752
"43" 0.89817039364258 0.89817039364258 0.89817039364258 0.555649099174945
"44" 0.89817039364258 1 1 1
"45" 1 1 1 0.500717360114778
"46" 0.719371918933723 0.521520803443329 0.521520803443329 0.146315972827034
"47" 1 1 1 0.80170024025134
"48" 0.89817039364258 0.89817039364258 0.89817039364258 0.89817039364258
"49" 0.89817039364258 0.802503221056507 0.802503221056507 0.494096916299559
"50" 0.89817039364258 0.551944592434736 0.295546558704453 0.717099208540401
