"TopKGraphs" "Jaccard" "Dice" "Laplacian"
"1" 1 1 1 0.543905635648755
"2" 1 0.89817039364258 0.89817039364258 0.52300868600998
"3" 1 1 1 0.292434614709496
"4" 1 1 1 0.808229243203527
"5" 1 1 1 0.89817039364258
"6" 1 1 1 0.423348300192431
"7" 0.89817039364258 1 1 0.520094562647754
"8" 1 1 1 0.20467513344377
"9" 1 1 1 0.488611315209405
"10" 0.808229243203527 0.791827719491993 0.791827719491993 0.44797634448346
"11" 1 1 1 0.524901703800786
"12" 0.89817039364258 1 1 0.543633762517883
"13" 0.89817039364258 1 1 0.543633762517883
"14" 1 1 1 0.506170910795188
"15" 0.89817039364258 1 1 0.41581962668638
"16" 1 1 1 1
"17" 0.806666666666667 1 1 0.339584728734092
"18" 1 1 1 1
"19" 1 1 1 0.468058191018343
"20" 1 1 1 0.579710144927536
"21" 1 1 1 0.555649099174945
"22" 0.89817039364258 0.89817039364258 0.89817039364258 0.521028435211987
"23" 1 1 1 1
"24" 0.80170024025134 0.80170024025134 0.80170024025134 0.490407867161051
"25" 1 1 1 0.89817039364258
"26" 1 1 1 1
"27" 1 1 1 1
"28" 1 1 1 0.524901703800786
"29" 0.89817039364258 1 1 0.468058191018343
"30" 1 1 1 0.89817039364258
"31" 1 1 1 1
"32" 1 1 1 0.184542852332042
"33" 1 1 1 0.89817039364258
"34" 1 1 1 0.516585283717798
"35" 1 0.89817039364258 0.89817039364258 0.543905635648755
"36" 0.89817039364258 1 1 0.89817039364258
"37" 1 1 1 1
"38" 1 1 1 0.89817039364258
"39" 1 0.89817039364258 0.89817039364258 0.500717360114778
"40" 1 1 1 0.46730345334313
"41" 1 1 1 0.272436437110625
"42" 1 0.89817039364258 0.89817039364258 0.305837781987257
"43" 0.791827719491993 0.808229243203527 0.89817039364258 0.506170910795188
"44" 1 1 1 0.667144906743185
"45" 1 0.499912907159032 0.89817039364258 0.806666666666667
"46" 0.89817039364258 1 1 1
"47" 0.89817039364258 1 1 0.417670682730924
"48" 1 1 1 0.477905073649754
"49" 1 1 1 0.506170910795188
"50" 1 1 1 1
