"TopKGraphs" "Jaccard" "Dice" "Laplacian" "PageRank" "Node2Vec"
"1" 1 1 1 0.445565410822319 1 1
"2" 1 1 1 0.488234209364575 1 1
"3" 1 1 1 0.457453776008867 1 1
"4" 1 1 1 0.114736744540004 1 1
"5" 1 1 1 0.791176265976891 1 1
"6" 1 1 1 0.438392560611093 1 1
"7" 1 1 1 0.122742643355637 1 1
"8" 1 1 1 1 1 1
"9" 1 1 1 0.436594651828156 1 1
"10" 1 1 1 0.465137061281026 1 1
"11" 1 1 1 0.966475346515058 1 1
"12" 1 1 1 0.743254708976752 1 1
"13" 1 1 1 0.0340389639978089 1 1
"14" 1 1 1 0.436594651828156 1 1
"15" 1 1 1 1 1 1
"16" 1 1 1 0.436594651828156 1 1
"17" 1 1 1 0.565505323252585 1 1
"18" 1 1 1 0.597226513513022 1 1
"19" 1 1 1 0.966475346515058 1 1
"20" 1 1 1 0.549670208767926 1 1
"21" 1 1 1 0.966475346515058 1 1
"22" 1 1 1 0.534459740430282 1 1
"23" 1 1 1 1 1 1
"24" 1 1 1 0.407286043642575 1 1
"25" 1 1 1 0.378981015865591 1 1
"26" 1 1 1 0.113998456270905 1 1
"27" 1 1 1 0.844479745830024 1 1
"28" 1 1 1 1 1 1
"29" 1 1 1 0.445565410822319 1 1
"30" 1 1 1 0.681716584711667 1 1
"31" 1 1 1 0.445565410822319 1 1
"32" 1 1 1 0.421612065754582 1 1
"33" 1 1 1 0.507072088969306 1 1
"34" 1 1 1 1 1 1
"35" 1 1 1 1 1 1
"36" 1 1 1 0.445565410822319 1 1
"37" 1 1 1 0.473959522920856 1 1
"38" 1 1 1 0.934126234654552 1 1
"39" 1 1 1 1 1 1
"40" 1 1 1 0.966475346515058 1 1
"41" 1 1 1 0.141204897074982 1 1
"42" 1 1 1 1 1 1
"43" 1 1 1 0.298093840818001 1 1
"44" 1 1 1 1 1 1
"45" 1 1 1 0.59108761702443 1 1
"46" 1 1 1 1 1 1
"47" 1 1 1 0.436594651828156 1 1
"48" 1 1 1 0.450925406618059 1 1
"49" 1 1 1 0.754412219717492 1 1
"50" 1 1 1 0.473959522920856 1 1
