"TopKGraphs" "Jaccard" "Dice" "Laplacian" "PageRank" "Node2Vec"
"1" 1 0.95 1 0.85 1 1
"2" 0.95 1 1 0.7 1 0.95
"3" 1 0.95 1 0.8 0.95 1
"4" 0.95 1 1 0.95 1 1
"5" 1 1 1 0.6 1 1
"6" 1 0.95 1 1 1 1
"7" 0.9 0.95 0.95 0.6 0.9 0.8
"8" 1 1 1 0.8 0.95 0.95
"9" 0.9 1 1 0.55 0.7 0.95
"10" 1 1 1 0.8 1 1
"11" 1 0.9 1 0.5 0.9 1
"12" 1 0.9 1 0.5 0.9 0.85
"13" 0.95 0.95 1 0.8 1 0.95
"14" 1 0.95 0.95 0.75 0.95 0.95
"15" 0.95 1 1 0.9 1 1
"16" 1 1 1 0.75 1 1
"17" 1 0.95 1 0.6 1 0.95
"18" 1 1 1 0.6 0.8 0.9
"19" 1 0.95 1 0.65 1 1
"20" 1 1 1 0.65 1 1
"21" 1 1 1 0.95 1 1
"22" 1 0.95 0.8 0.25 1 0.8
"23" 1 1 1 0.9 1 1
"24" 0.95 0.9 0.95 0.3 0.8 1
"25" 1 1 1 0.9 1 1
"26" 1 1 1 0.7 0.75 1
"27" 1 0.95 1 0.2 0.95 1
"28" 0.95 1 0.95 1 1 1
"29" 1 0.95 0.85 0.9 1 0.95
"30" 0.9 0.85 1 0.9 0.85 0.95
"31" 1 1 1 0.65 1 1
"32" 0.95 0.85 1 0.25 0.9 0.9
"33" 1 0.95 1 0.4 1 1
"34" 1 1 1 0.7 1 0.95
"35" 1 0.95 0.95 0.5 1 0.95
"36" 1 1 0.95 0.4 1 0.95
"37" 1 0.95 1 0.65 1 1
"38" 1 1 0.95 0.8 1 1
"39" 0.95 1 1 0.8 0.8 0.85
"40" 1 1 1 0.7 0.95 0.9
"41" 0.95 1 1 0.85 1 1
"42" 0.95 1 0.95 0.2 0.95 0.85
"43" 1 1 1 0.75 1 1
"44" 1 1 1 0.75 1 1
"45" 1 1 1 0.6 1 1
"46" 1 1 1 0.65 1 1
"47" 1 0.95 0.95 0.55 1 1
"48" 1 0.75 1 0.7 0.75 0.75
"49" 1 0.95 1 0.7 1 1
"50" 0.95 0.85 0.95 0.3 0.95 1
