"Run" "Method" "K" "BalancedAccuracy"
"1" 1 "TopKGraphs" "K=5" 0.795969105758126
"2" 2 "TopKGraphs" "K=5" 0.83954354348443
"3" 3 "TopKGraphs" "K=5" 0.879879385964912
"4" 4 "TopKGraphs" "K=5" 0.79637359163675
"5" 5 "TopKGraphs" "K=5" 0.892549081035923
"6" 6 "TopKGraphs" "K=5" 0.886872056514914
"7" 7 "TopKGraphs" "K=5" 0.916047297297297
"8" 8 "TopKGraphs" "K=5" 0.871532886269728
"9" 9 "TopKGraphs" "K=5" 0.82795964539662
"10" 10 "TopKGraphs" "K=5" 0.851218615903766
"11" 11 "TopKGraphs" "K=5" 0.935855263157895
"12" 12 "TopKGraphs" "K=5" 0.781491656491657
"13" 13 "TopKGraphs" "K=5" 0.90785369126383
"14" 14 "TopKGraphs" "K=5" 0.740767169338598
"15" 15 "TopKGraphs" "K=5" 0.882006463912796
"16" 16 "TopKGraphs" "K=5" 0.885790126861555
"17" 17 "TopKGraphs" "K=5" 0.783333333333333
"18" 18 "TopKGraphs" "K=5" 0.891518520590401
"19" 19 "TopKGraphs" "K=5" 0.829114555732203
"20" 20 "TopKGraphs" "K=5" 0.756384936425259
"21" 21 "TopKGraphs" "K=5" 0.785764576100711
"22" 22 "TopKGraphs" "K=5" 0.697691788716129
"23" 23 "TopKGraphs" "K=5" 0.84012654012654
"24" 24 "TopKGraphs" "K=5" 0.885818292370712
"25" 25 "TopKGraphs" "K=5" 0.89798528606845
"26" 26 "TopKGraphs" "K=5" 0.800702488202488
"27" 27 "TopKGraphs" "K=5" 0.848570296846159
"28" 28 "TopKGraphs" "K=5" 0.73014652014652
"29" 29 "TopKGraphs" "K=5" 0.795361004813825
"30" 30 "TopKGraphs" "K=5" 0.838706702528163
"31" 31 "TopKGraphs" "K=5" 0.797949269785258
"32" 32 "TopKGraphs" "K=5" 0.83970692607863
"33" 33 "TopKGraphs" "K=5" 0.948113655350498
"34" 34 "TopKGraphs" "K=5" 0.785879052796346
"35" 35 "TopKGraphs" "K=5" 0.727907395799553
"36" 36 "TopKGraphs" "K=5" 0.879862181640199
"37" 37 "TopKGraphs" "K=5" 0.874923747162743
"38" 38 "TopKGraphs" "K=5" 0.895341551136973
"39" 39 "TopKGraphs" "K=5" 0.850119270378402
"40" 40 "TopKGraphs" "K=5" 0.722397914832125
"41" 41 "TopKGraphs" "K=5" 0.725407686698009
"42" 42 "TopKGraphs" "K=5" 0.811368456105298
"43" 43 "TopKGraphs" "K=5" 0.90323029796714
"44" 44 "TopKGraphs" "K=5" 0.708138494632303
"45" 45 "TopKGraphs" "K=5" 0.888794374731875
"46" 46 "TopKGraphs" "K=5" 0.967666567666568
"47" 47 "TopKGraphs" "K=5" 0.731375639198648
"48" 48 "TopKGraphs" "K=5" 0.855770286415448
"49" 49 "TopKGraphs" "K=5" 0.77436000470887
"50" 50 "TopKGraphs" "K=5" 0.865088201272412
"51" 1 "Node2Vec" "K=5" 0.867078407703408
"52" 2 "Node2Vec" "K=5" 0.812220785750198
"53" 3 "Node2Vec" "K=5" 0.819229838391023
"54" 4 "Node2Vec" "K=5" 0.695053755768042
"55" 5 "Node2Vec" "K=5" 0.876022408963585
"56" 6 "Node2Vec" "K=5" 0.829381909503613
"57" 7 "Node2Vec" "K=5" 0.895722044159544
"58" 8 "Node2Vec" "K=5" 0.920555555555556
"59" 9 "Node2Vec" "K=5" 0.811942601602044
"60" 10 "Node2Vec" "K=5" 0.731957875988592
"61" 11 "Node2Vec" "K=5" 0.824469288755003
"62" 12 "Node2Vec" "K=5" 0.675456890779471
"63" 13 "Node2Vec" "K=5" 0.833297529538131
"64" 14 "Node2Vec" "K=5" 0.79375
"65" 15 "Node2Vec" "K=5" 0.957760989010989
"66" 16 "Node2Vec" "K=5" 0.837867818756949
"67" 17 "Node2Vec" "K=5" 0.803936925647452
"68" 18 "Node2Vec" "K=5" 0.789214008950851
"69" 19 "Node2Vec" "K=5" 0.888273579702151
"70" 20 "Node2Vec" "K=5" 0.821536159594781
"71" 21 "Node2Vec" "K=5" 0.859928016891637
"72" 22 "Node2Vec" "K=5" 0.850256651243493
"73" 23 "Node2Vec" "K=5" 0.845643520566121
"74" 24 "Node2Vec" "K=5" 0.93128733572282
"75" 25 "Node2Vec" "K=5" 0.835883204633205
"76" 26 "Node2Vec" "K=5" 0.861307634387329
"77" 27 "Node2Vec" "K=5" 0.765656565656566
"78" 28 "Node2Vec" "K=5" 0.81056972140716
"79" 29 "Node2Vec" "K=5" 0.705709477138049
"80" 30 "Node2Vec" "K=5" 0.792874779510466
