"k" "Method" "ARI_mean" "ARI_sd"
"1" 3 "TopKGraphs" 0.427886391441704 0.0667697031768423
"2" 3 "Jaccard" 0.389801090358764 0
"3" 3 "Dice" 0.366637424154354 0
"4" 3 "PageRank" 0.489699828948855 0
"5" 3 "Node2Vec" 0.401826498220344 0.0163105658837136
"6" 5 "TopKGraphs" 0.426420031968894 0.0282951578725795
"7" 5 "Jaccard" 0.50057227222105 0
"8" 5 "Dice" 0.509296828489831 0
"9" 5 "PageRank" 0.423361929976397 0
"10" 5 "Node2Vec" 0.421722513053029 0.018494188429339
"11" 7 "TopKGraphs" 0.39598643225741 0.0659794377827566
"12" 7 "Jaccard" 0.474954422584062 0
"13" 7 "Dice" 0.431447510492054 0
"14" 7 "PageRank" 0.424245309954723 0
"15" 7 "Node2Vec" 0.438933859880963 0.0473753947429586
"16" 10 "TopKGraphs" 0.353408646954456 0.0607419785228796
"17" 10 "Jaccard" 0.472221000535474 0
"18" 10 "Dice" 0.371755878882215 0
"19" 10 "PageRank" 0.42803800647079 0.0380112569458121
"20" 10 "Node2Vec" 0.386016091031367 0.0261270235329343
