"k" "Method" "ARI_mean" "ARI_sd"
"1" 3 "TopKGraphs" 0.119520888266313 0.0268914728185212
"2" 3 "Jaccard" 0.0885645442325521 0
"3" 3 "Dice" 0.0956757328663929 0
"4" 3 "PageRank" 0.112803668913537 0
"5" 3 "Node2Vec" 0.169656930945727 0.0229822034052193
"6" 5 "TopKGraphs" 0.172425972031454 0.0125822725556887
"7" 5 "Jaccard" 0.106627924931023 0
"8" 5 "Dice" 0.174998683774977 0
"9" 5 "PageRank" 0.107407009579539 0
"10" 5 "Node2Vec" 0.152854545630396 0.0278686048923725
"11" 7 "TopKGraphs" 0.178309773359712 0.0294424106116606
"12" 7 "Jaccard" 0.118701918273977 0
"13" 7 "Dice" 0.133208494083441 0
"14" 7 "PageRank" 0.0989228893285828 0
"15" 7 "Node2Vec" 0.212869834207821 0.0201370704228597
"16" 10 "TopKGraphs" 0.209785832674596 0.0252606075399576
"17" 10 "Jaccard" 0.164924232716272 0
"18" 10 "Dice" 0.227317654851464 0
"19" 10 "PageRank" 0.223268524691938 0
"20" 10 "Node2Vec" 0.196199971327359 0.0342862404369844
