"k" "Method" "ARI_mean" "ARI_sd"
"1" 3 "TopKGraphs" 0.38886306760968 0.306817632671637
"2" 3 "Jaccard" -0.0227528105465106 0.00750126361242371
"3" 3 "Dice" -0.0293655195287613 0.00946348777837946
"4" 3 "PageRank" -0.0173147087924715 0.00668625657738606
"5" 3 "Node2Vec" 0.800855782756159 0.0350388101166521
"6" 5 "TopKGraphs" 0.701824012130675 0.241068076566748
"7" 5 "Jaccard" -0.0226502465687422 0.00563266424614208
"8" 5 "Dice" -0.0299937626596393 0.00192831753924853
"9" 5 "PageRank" -0.0145195694001841 0.00148656498068125
"10" 5 "Node2Vec" 0.79846474532293 0.0352308098043953
"11" 7 "TopKGraphs" 0.79752344664182 0.0236504913039277
"12" 7 "Jaccard" -0.0269562004433052 0.00474814046114876
"13" 7 "Dice" 0.141040688760322 0.363132591936285
"14" 7 "PageRank" 0.798632099137538 0.00899849562424973
"15" 7 "Node2Vec" 0.805626209070443 0.0195695844510584
"16" 10 "TopKGraphs" 0.779377760178767 0.029951613922662
"17" 10 "Jaccard" -0.0300062436381529 0.00155510065526249
"18" 10 "Dice" 0.555746800095431 0.404761456742931
"19" 10 "PageRank" 0.52566983988625 0.384077034015788
"20" 10 "Node2Vec" 0.797195808132871 0.0155386312794537
