"k" "Method" "Metric" "Mean" "SD"
"1" "k=5" "TopKGraphs" "ARI" 0.772590683088975 0.00860661694030586
"2" "k=7" "TopKGraphs" "ARI" 0.777642941284794 0.0073138340701402
"3" "k=10" "TopKGraphs" "ARI" 0.795301099870313 0.014664305503171
"4" "k=5" "Jaccard" "ARI" 0.754727741913743 0
"5" "k=7" "Jaccard" "ARI" 0.736668766273759 0
"6" "k=10" "Jaccard" "ARI" 0.757932940839534 0.00960392009509672
"7" "k=5" "Dice" "ARI" 0.767044019429564 0
"8" "k=7" "Dice" "ARI" 0.742662108837943 0
"9" "k=10" "Dice" "ARI" 0.748821862249504 0
"10" "k=5" "PageRank" "ARI" 0.718705984344495 0
"11" "k=7" "PageRank" "ARI" 0.550118580444638 0
"12" "k=10" "PageRank" "ARI" 0.628862534690772 0
"13" "k=5" "Node2Vec" "ARI" 0.577857044402743 0.138612664013729
"14" "k=7" "Node2Vec" "ARI" 0.652013372242048 0.1586431583291
"15" "k=10" "Node2Vec" "ARI" 0.705364748014044 0.101234554673677
"16" "k=5" "TopKGraphs" "NMI" 0.667019649926589 0.00992003942669996
"17" "k=7" "TopKGraphs" "NMI" 0.671211435234041 0.00817819556553387
"18" "k=10" "TopKGraphs" "NMI" 0.696332675389046 0.0180560999776387
"19" "k=5" "Jaccard" "NMI" 0.639276451856867 0
"20" "k=7" "Jaccard" "NMI" 0.614713891643793 0
"21" "k=10" "Jaccard" "NMI" 0.642648866181053 0.0145404098213949
"22" "k=5" "Dice" "NMI" 0.65644311012542 0
"23" "k=7" "Dice" "NMI" 0.621993717027343 0
"24" "k=10" "Dice" "NMI" 0.628854622236686 0
"25" "k=5" "PageRank" "NMI" 0.595307363366166 0
"26" "k=7" "PageRank" "NMI" 0.427304620572206 0
"27" "k=10" "PageRank" "NMI" 0.526045948493047 0
"28" "k=5" "Node2Vec" "NMI" 0.471982583569859 0.124795325485774
"29" "k=7" "Node2Vec" "NMI" 0.54772359531721 0.135950159002666
"30" "k=10" "Node2Vec" "NMI" 0.596273396849088 0.0839618522810882
"31" "k=5" "TopKGraphs" "AMI" 0.666574417253863 0.00993330639322493
"32" "k=7" "TopKGraphs" "AMI" 0.670771816139992 0.00818913432423867
"33" "k=10" "TopKGraphs" "AMI" 0.69592664221471 0.0180802479368228
"34" "k=5" "Jaccard" "AMI" 0.638794148882994 0
"35" "k=7" "Jaccard" "AMI" 0.614198797241149 0
"36" "k=10" "Jaccard" "AMI" 0.642171085639381 0.0145598262462658
"37" "k=5" "Dice" "AMI" 0.655983749621731 0
"38" "k=7" "Dice" "AMI" 0.621488336513529 0
"39" "k=10" "Dice" "AMI" 0.628358421657031 0
"40" "k=5" "PageRank" "AMI" 0.594766355101785 0
"41" "k=7" "PageRank" "AMI" 0.426540116083664 0
"42" "k=10" "PageRank" "AMI" 0.525411986644909 0
"43" "k=5" "Node2Vec" "AMI" 0.471288139228239 0.124949927475592
"44" "k=7" "Node2Vec" "AMI" 0.547126822269603 0.136114970823228
"45" "k=10" "Node2Vec" "AMI" 0.595733463709473 0.0840744630278903
