"k" "Method" "Metric" "Mean" "SD"
"1" "k=5" "TopKGraphs" "ARI" 0.393813299886361 0.0530337252515092
"2" "k=10" "TopKGraphs" "ARI" 0.421798322466141 0.0443417034231362
"3" "k=20" "TopKGraphs" "ARI" 0.362742589325924 0.0109735416138788
"4" "k=5" "Jaccard" "ARI" 0.50057227222105 0
"5" "k=10" "Jaccard" "ARI" 0.472221000535474 0
"6" "k=20" "Jaccard" "ARI" 0.347064325269272 0
"7" "k=5" "Dice" "ARI" 0.509296828489831 0
"8" "k=10" "Dice" "ARI" 0.371755878882215 0
"9" "k=20" "Dice" "ARI" 0.385441118405353 0
"10" "k=5" "PageRank" "ARI" 0.423361929976397 0
"11" "k=10" "PageRank" "ARI" 0.435907084256476 0.0406357429519601
"12" "k=20" "PageRank" "ARI" 0.36651915047004 0
"13" "k=5" "Node2Vec" "ARI" 0.430574131225873 0.0267906043169785
"14" "k=10" "Node2Vec" "ARI" 0.379850764279764 0.0472402568580055
"15" "k=20" "Node2Vec" "ARI" 0.388567717584853 0.0204343075927276
"16" "k=5" "TopKGraphs" "NMI" 0.505520536276186 0.0125509119493604
"17" "k=10" "TopKGraphs" "NMI" 0.500141998854634 0.00779378253321999
"18" "k=20" "TopKGraphs" "NMI" 0.504666078601171 0.00713821356005967
"19" "k=5" "Jaccard" "NMI" 0.548668851709783 0
"20" "k=10" "Jaccard" "NMI" 0.542789544919982 0
"21" "k=20" "Jaccard" "NMI" 0.486794650525271 0
"22" "k=5" "Dice" "NMI" 0.559044657672043 0
"23" "k=10" "Dice" "NMI" 0.485848931635167 0
"24" "k=20" "Dice" "NMI" 0.500318023664052 0
"25" "k=5" "PageRank" "NMI" 0.528720593489266 0
"26" "k=10" "PageRank" "NMI" 0.549134344388212 0.0100009613536069
"27" "k=20" "PageRank" "NMI" 0.505966374694816 0
"28" "k=5" "Node2Vec" "NMI" 0.531749830451686 0.0114595223801912
"29" "k=10" "Node2Vec" "NMI" 0.49225003559773 0.0167040044383673
"30" "k=20" "Node2Vec" "NMI" 0.495271897318554 0.0103339002706625
"31" "k=5" "TopKGraphs" "AMI" 0.486581900184342 0.0128091902899559
"32" "k=10" "TopKGraphs" "AMI" 0.481182260063211 0.00798460841781351
"33" "k=20" "TopKGraphs" "AMI" 0.485963978581571 0.00739473930557299
"34" "k=5" "Jaccard" "AMI" 0.530787795760466 0
"35" "k=10" "Jaccard" "AMI" 0.524812826465645 0
"36" "k=20" "Jaccard" "AMI" 0.467502956242507 0
"37" "k=5" "Dice" "AMI" 0.541863958680415 0
"38" "k=10" "Dice" "AMI" 0.466593344348834 0
"39" "k=20" "Dice" "AMI" 0.481400065346617 0
"40" "k=5" "PageRank" "AMI" 0.510723869461266 0
"41" "k=10" "PageRank" "AMI" 0.531668005280253 0.0102243545591556
"42" "k=20" "PageRank" "AMI" 0.487321714299288 0
"43" "k=5" "Node2Vec" "AMI" 0.513835413858624 0.0118798508751752
"44" "k=10" "Node2Vec" "AMI" 0.473108932616731 0.0172913285438486
"45" "k=20" "Node2Vec" "AMI" 0.476299481632205 0.0107053344551354
