"k" "Method" "Metric" "Mean" "SD"
"1" "k=3" "TopKGraphs" "Silhouette" 0.114783756595431 0.00274605225574032
"2" "k=5" "TopKGraphs" "Silhouette" 0.158373959794989 0.00400017699088291
"3" "k=7" "TopKGraphs" "Silhouette" 0.199627949238211 0.00452501201735513
"4" "k=10" "TopKGraphs" "Silhouette" 0.241454287531309 0.0042375461583257
"5" "k=3" "Jaccard" "Silhouette" 0.0305003283320174 0
"6" "k=5" "Jaccard" "Silhouette" 0.0524214848466821 0
"7" "k=7" "Jaccard" "Silhouette" 0.0749657696970718 0
"8" "k=10" "Jaccard" "Silhouette" 0.107892730243632 4.59728145721177e-05
"9" "k=3" "Dice" "Silhouette" 0.050454630236699 0
"10" "k=5" "Dice" "Silhouette" 0.0877532575517005 0
"11" "k=7" "Dice" "Silhouette" 0.124501393251688 0
"12" "k=10" "Dice" "Silhouette" 0.174270351461615 5.12154458475747e-05
"13" "k=3" "PageRank" "Silhouette" 0.00888516041026209 0
"14" "k=5" "PageRank" "Silhouette" 0.00867505535572877 0
"15" "k=7" "PageRank" "Silhouette" 0.00833137303425924 0
"16" "k=10" "PageRank" "Silhouette" 0.00832263199883717 6.73994306869868e-07
"17" "k=3" "Node2Vec" "Silhouette" 0.193307761000334 0.00513111912256098
"18" "k=5" "Node2Vec" "Silhouette" 0.18991577357696 0.00472401728653644
"19" "k=7" "Node2Vec" "Silhouette" 0.1940363223845 0.00570647001939747
"20" "k=10" "Node2Vec" "Silhouette" 0.202668192292712 0.00508878185305189
"21" "k=3" "TopKGraphs" "CalinskiHarabasz" 19.2322047546258 0.395773654162515
"22" "k=5" "TopKGraphs" "CalinskiHarabasz" 32.5554824697849 0.742871343182498
"23" "k=7" "TopKGraphs" "CalinskiHarabasz" 52.8118643800952 1.06810225046097
"24" "k=10" "TopKGraphs" "CalinskiHarabasz" 85.6975325067593 1.64703280674387
"25" "k=3" "Jaccard" "CalinskiHarabasz" 6.73976600601361 0
"26" "k=5" "Jaccard" "CalinskiHarabasz" 14.0431546157093 0
"27" "k=7" "Jaccard" "CalinskiHarabasz" 24.139770821325 0
"28" "k=10" "Jaccard" "CalinskiHarabasz" 39.73406578868 0.0136528424300555
"29" "k=3" "Dice" "CalinskiHarabasz" 9.92109810336739 0
"30" "k=5" "Dice" "CalinskiHarabasz" 21.8286592595892 0
"31" "k=7" "Dice" "CalinskiHarabasz" 37.6420746123533 0
"32" "k=10" "Dice" "CalinskiHarabasz" 60.7664638214503 0.00309721084525295
"33" "k=3" "PageRank" "CalinskiHarabasz" 5.70892607881613 0
"34" "k=5" "PageRank" "CalinskiHarabasz" 6.55644553473542 0
"35" "k=7" "PageRank" "CalinskiHarabasz" 6.8480075170768 0
"36" "k=10" "PageRank" "CalinskiHarabasz" 7.08715960885552 0.000905285838594957
"37" "k=3" "Node2Vec" "CalinskiHarabasz" 101.575280824328 7.66727045394028
"38" "k=5" "Node2Vec" "CalinskiHarabasz" 136.834515981159 7.2494005963199
"39" "k=7" "Node2Vec" "CalinskiHarabasz" 150.154544855691 15.2992852815692
"40" "k=10" "Node2Vec" "CalinskiHarabasz" 160.210632233512 13.6734690214683
"41" "k=3" "TopKGraphs" "DaviesBouldin" 2.5273047954073 0.029607468116011
"42" "k=5" "TopKGraphs" "DaviesBouldin" 1.98728380595658 0.0232212993408703
"43" "k=7" "TopKGraphs" "DaviesBouldin" 1.59176365034304 0.0162632921781528
"44" "k=10" "TopKGraphs" "DaviesBouldin" 1.25979337630381 0.0112637960127606
"45" "k=3" "Jaccard" "DaviesBouldin" 4.30227343609031 0
"46" "k=5" "Jaccard" "DaviesBouldin" 3.03549974104729 0
"47" "k=7" "Jaccard" "DaviesBouldin" 2.37376260485245 0
"48" "k=10" "Jaccard" "DaviesBouldin" 1.85466368574966 7.40456942504391e-05
"49" "k=3" "Dice" "DaviesBouldin" 3.53464919325061 0
"50" "k=5" "Dice" "DaviesBouldin" 2.43341354023944 0
"51" "k=7" "Dice" "DaviesBouldin" 1.90381636014836 0
"52" "k=10" "Dice" "DaviesBouldin" 1.50509610384502 6.04820130346213e-05
"53" "k=3" "PageRank" "DaviesBouldin" 4.70450548100195 0
"54" "k=5" "PageRank" "DaviesBouldin" 4.45048234232247 0
"55" "k=7" "PageRank" "DaviesBouldin" 4.39486859916107 0
"56" "k=10" "PageRank" "DaviesBouldin" 4.35779151863252 0.000145654971968746
"57" "k=3" "Node2Vec" "DaviesBouldin" 1.16985629873929 0.0441265300714793
"58" "k=5" "Node2Vec" "DaviesBouldin" 1.06559429280597 0.0301883937439243
"59" "k=7" "Node2Vec" "DaviesBouldin" 1.04224074294713 0.0490999846132735
"60" "k=10" "Node2Vec" "DaviesBouldin" 1.02938100566082 0.0347102432709868
