"k" "Method" "Accuracy" "SD"
"1" 3 "TopKGraphs" 0.855882352941176 0.0397028563359149
"2" 3 "Jaccard" 0.838235294117647 0.0285830975237515
"3" 3 "Dice" 0.857352941176471 0.033997138989019
"4" 3 "PageRank" 0.876470588235294 0.0279024499426622
"5" 3 "Node2Vec" 0.85 0.0408953992443416
"6" 5 "TopKGraphs" 0.835294117647059 0.0494102085033496
"7" 5 "Jaccard" 0.851470588235294 0.0263523138347365
"8" 5 "Dice" 0.827941176470588 0.0421967435620732
"9" 5 "PageRank" 0.873529411764706 0.0411297587517707
"10" 5 "Node2Vec" 0.844117647058824 0.0341029943743649
"11" 7 "TopKGraphs" 0.860294117647059 0.0355180802602682
"12" 7 "Jaccard" 0.841176470588235 0.0503734610928044
"13" 7 "Dice" 0.827941176470588 0.0392463115710747
"14" 7 "PageRank" 0.860294117647059 0.0311958874052889
"15" 7 "Node2Vec" 0.836764705882353 0.0511544915615473
"16" 10 "TopKGraphs" 0.841176470588235 0.0384733664124482
"17" 10 "Jaccard" 0.845588235294118 0.0311958874052889
"18" 10 "Dice" 0.880882352941176 0.0328467952308843
"19" 10 "PageRank" 0.852941176470588 0.0285830975237515
"20" 10 "Node2Vec" 0.861764705882353 0.0348004693123507
