"k" "Method" "Accuracy" "SD"
"1" 5 "TopKGraphs" 0.921897810218978 0.0165199466635211
"2" 5 "Jaccard" 0.802919708029197 0.0802550973356236
"3" 5 "Dice" 0.832846715328467 0.0731911333596805
"4" 5 "PageRank" 0.965693430656934 0.0150182962160691
"5" 5 "Node2Vec" 0.971532846715328 0.0126192724865109
"6" 7 "TopKGraphs" 0.940875912408759 0.0286753878707272
"7" 7 "Jaccard" 0.932116788321168 0.0257608971923434
"8" 7 "Dice" 0.912408759124088 0.0433882104625961
"9" 7 "PageRank" 0.967883211678832 0.0154649621236698
"10" 7 "Node2Vec" 0.962773722627737 0.0116432954880831
"11" 10 "TopKGraphs" 0.965693430656934 0.0220459976449135
"12" 10 "Jaccard" 0.955474452554745 0.0189874579222644
"13" 10 "Dice" 0.95036496350365 0.0316862688001941
"14" 10 "PageRank" 0.964963503649635 0.0145172105987118
"15" 10 "Node2Vec" 0.97007299270073 0.0166626702367532
