"k" "Method" "Accuracy" "SD"
"1" 3 "TopKGraphs" 0.92 0.0612624388981787
"2" 3 "Jaccard" 0.913333333333333 0.0773001205818937
"3" 3 "Dice" 0.913333333333333 0.0651683479938452
"4" 3 "PageRank" 0.963333333333333 0.0245954929124207
"5" 3 "Node2Vec" 0.906666666666667 0.0491909858248414
"6" 5 "TopKGraphs" 0.97 0.0291865011923638
"7" 5 "Jaccard" 0.936666666666667 0.0507961308918331
"8" 5 "Dice" 0.936666666666667 0.0456773439802099
"9" 5 "PageRank" 0.95 0.045133546692422
"10" 5 "Node2Vec" 0.953333333333333 0.0281091347570523
"11" 7 "TopKGraphs" 0.946666666666667 0.02330686329267
"12" 7 "Jaccard" 0.963333333333333 0.0189215404065849
"13" 7 "Dice" 0.933333333333333 0.0314269680527354
"14" 7 "PageRank" 0.963333333333333 0.0331476308670584
"15" 7 "Node2Vec" 0.966666666666667 0.0272165526975909
"16" 10 "TopKGraphs" 0.953333333333333 0.0391262596925756
"17" 10 "Jaccard" 0.936666666666667 0.0331476308670584
"18" 10 "Dice" 0.956666666666667 0.0386500602909468
"19" 10 "PageRank" 0.956666666666667 0.0567646212197547
"20" 10 "Node2Vec" 0.966666666666667 0.0351364184463153
