"k" "Method" "ARI_mean" "ARI_sd"
"1" 3 "TopKGraphs" 0.767193969578321 0.0779698227989979
"2" 3 "Jaccard" 0.771272439931224 0
"3" 3 "Dice" 0.771272439931224 0
"4" 3 "PageRank" 0.742337548273535 0
"5" 3 "Node2Vec" 0.770024921331684 0.0370664766554547
"6" 5 "TopKGraphs" 0.690709766713892 0.0890491944077801
"7" 5 "Jaccard" 0.789855526001852 0
"8" 5 "Dice" 0.758737086663524 0
"9" 5 "PageRank" 0.754824223234889 0
"10" 5 "Node2Vec" 0.7502683221017 0.0514067475406068
"11" 7 "TopKGraphs" 0.762080138735405 0.0139431234369033
"12" 7 "Jaccard" 0.726296244249558 0
"13" 7 "Dice" 0.715627293540018 0
"14" 7 "PageRank" 0.856051748632633 0
"15" 7 "Node2Vec" 0.738377373252804 0.0641181859311088
"16" 10 "TopKGraphs" 0.77420472755304 0.032064581336834
"17" 10 "Jaccard" 0.77257068627261 0
"18" 10 "Dice" 0.758469385961395 0
"19" 10 "PageRank" 0.88593685452968 0
"20" 10 "Node2Vec" 0.775317280173922 0.0542808614486049
