TopKGraphs  Node2Vec
 [1,]  0.2921534 0.3014511
 [2,]  0.3614954 0.3220273
 [3,]  0.3715926 0.3024786
 [4,]  0.3410582 0.2815662
 [5,]  0.3654778 0.2969355
 [6,]  0.2915576 0.3462736
 [7,]  0.3590268 0.2566852
 [8,]  0.3612786 0.2468455
 [9,]  0.3260367 0.3109693
[10,]  0.3632444 0.2740373
[11,]  0.3117447 0.3458094
[12,]  0.3287048 0.3251011
[13,]  0.3583612 0.3386448
[14,]  0.2985854 0.2828427
[15,]  0.3330541 0.2827243
[16,]  0.3005907 0.3168141
[17,]  0.3135229 0.3438334
[18,]  0.3334856 0.2675736
[19,]  0.3651151 0.3268097
[20,]  0.3757502 0.2124277
[21,]  0.3611923 0.3128987
